time_h,nh3_feed_kg_h,temperature_c,pressure_bar,nh3_outlet_ppmv,fired_kw,h2_product_kg_h
0.0,10.0249,600.637,5.062,2583.826,11.5983,1.68045
2.0,9.9896,598.585,5.038,2510.88,11.8367,1.65979
4.0,10.0138,601.547,4.994,2513.918,12.3267,1.68153
6.0,9.9658,600.525,4.943,2594.488,12.0448,1.66503
8.0,10.0231,602.752,5.101,2661.882,11.4776,1.68445
10.0,9.9191,598.761,5.0,2574.875,11.6419,1.64095
12.0,10.0452,597.054,5.045,2743.733,11.5398,1.68061
14.0,9.9295,599.303,4.989,2617.465,11.8271,1.69162
16.0,9.9434,596.654,5.009,2645.356,12.049,1.66531
18.0,10.0584,598.24,5.005,2686.393,11.7414,1.72319
20.0,9.9357,598.171,5.001,2651.355,11.8266,1.67955
22.0,10.0291,599.904,5.04,2499.222,11.5644,1.70801
24.0,10.0495,600.141,4.986,2802.341,11.7031,1.6778
26.0,9.9688,600.456,5.025,2634.206,11.7578,1.69939
28.0,10.0238,601.642,4.918,2584.88,11.3857,1.67877
30.0,9.9039,602.274,4.925,2614.788,11.9513,1.66247
32.0,10.0254,600.473,4.963,2663.548,11.7832,1.68677
34.0,10.0736,603.593,5.022,2618.928,11.8699,1.69055
36.0,10.0053,598.032,4.926,2520.879,11.7424,1.69061
38.0,10.0345,599.75,5.009,2680.756,11.4653,1.69743
40.0,10.0344,600.283,5.117,2575.264,11.8531,1.68116
42.0,9.963,602.052,4.981,2520.856,11.7358,1.69367
44.0,9.9564,598.578,5.006,2525.451,12.0772,1.67039
46.0,10.0388,600.125,4.979,2607.335,12.176,1.68017
48.0,9.9757,600.966,5.048,2613.717,11.7005,1.66223
50.0,10.0184,601.132,5.054,2605.848,11.1485,1.65745
52.0,9.9796,599.997,4.947,2492.059,11.5879,1.68094
54.0,10.0341,601.518,4.987,2640.384,11.4839,1.64913
56.0,9.9273,602.507,4.922,2461.956,12.0697,1.65309
58.0,10.0349,601.139,4.994,2629.279,11.8443,1.69183
60.0,9.9677,603.196,5.054,2548.263,11.7673,1.68532
62.0,9.9619,600.104,5.021,2562.638,11.7999,1.65231
64.0,9.9255,601.366,5.108,2613.593,11.9251,1.70098
66.0,9.9462,601.449,5.057,2624.996,12.0796,1.65503
68.0,9.9086,595.375,5.043,2537.927,11.5169,1.66538
70.0,10.0321,597.456,5.055,2540.613,11.8682,1.68078
72.0,9.9579,597.459,5.022,2648.422,12.4065,1.70628
74.0,10.0249,602.221,4.915,2701.721,11.747,1.6781
76.0,9.9804,601.916,4.983,2637.072,11.2477,1.68509
78.0,9.9984,602.593,4.958,2587.134,11.5128,1.67188
80.0,10.0093,600.804,4.978,2674.828,11.8275,1.66594
82.0,10.05,601.681,4.969,2612.189,11.8365,1.67609
84.0,9.9872,599.217,4.974,2670.276,11.5525,1.6991
86.0,10.0612,601.711,4.964,2683.071,11.8217,1.67076
88.0,10.0334,596.436,4.923,2635.024,11.6951,1.67759
90.0,10.0137,601.461,4.876,2741.328,11.4657,1.66243
92.0,10.0093,598.485,5.051,2664.048,12.0442,1.673
94.0,9.9969,599.493,5.057,2589.522,11.7041,1.6673
96.0,10.0225,603.432,5.044,2472.913,11.8104,1.70105
98.0,10.0332,603.092,4.929,2698.001,11.5706,1.67205
100.0,9.975,600.692,4.997,2766.871,11.3487,1.68391
102.0,9.9647,602.38,4.886,2620.855,11.5913,1.64194
104.0,10.0061,601.18,5.042,2654.749,11.9026,1.66036
106.0,9.9824,597.034,4.992,2474.484,11.9709,1.71348
108.0,9.9222,599.87,4.95,2715.208,11.8501,1.67438
110.0,9.9325,601.24,4.966,2608.722,11.9744,1.69379
112.0,9.9502,599.277,4.947,2692.007,12.0155,1.67655
114.0,10.0317,596.031,5.046,2599.6,11.9025,1.69296
116.0,10.0442,600.195,4.983,2535.052,11.7553,1.69041
118.0,9.9797,599.271,4.908,2626.32,12.1551,1.69371
120.0,9.979,600.371,5.062,2578.526,11.643,1.69283
122.0,9.9463,604.785,4.926,2524.907,11.9319,1.68777
124.0,9.9996,599.57,4.952,2514.678,11.7682,1.69067
126.0,10.0353,600.686,5.0,2767.619,11.7282,1.68398
128.0,9.9959,599.639,5.06,2584.261,11.7413,1.68168
130.0,9.9962,597.775,4.964,2653.539,11.6408,1.65123
132.0,9.9599,601.757,4.956,2517.191,11.4694,1.68838
134.0,10.0232,599.421,5.078,2702.002,11.6347,1.68736
136.0,10.0313,597.324,5.026,2611.303,11.7095,1.66186
138.0,9.9786,600.834,4.918,2692.328,11.6455,1.68937
140.0,9.9275,598.464,4.953,2637.921,11.8234,1.70357
142.0,10.0442,594.804,5.001,2648.29,11.7928,1.66344
144.0,9.9692,597.995,4.976,2662.637,11.8511,1.66305
146.0,9.966,600.258,4.958,2560.024,11.8117,1.66988
148.0,10.007,596.561,5.052,2650.08,11.7962,1.6941
150.0,10.0476,600.657,5.034,2623.126,11.9146,1.67247
152.0,9.9377,599.263,5.032,2682.343,11.8156,1.6476
154.0,9.887,598.919,5.076,2563.362,11.969,1.69249
156.0,9.902,599.958,4.859,2463.392,11.7805,1.69142
158.0,10.0202,602.265,5.024,2727.831,11.4526,1.67906
160.0,10.0653,597.186,4.975,2752.604,11.4293,1.70047
162.0,9.9444,597.975,4.954,2606.951,11.83,1.69311
164.0,10.0383,596.793,4.945,2631.114,12.1381,1.69036
166.0,9.9444,600.324,5.02,2648.843,11.8295,1.66702
168.0,9.9582,599.928,4.998,2528.866,11.782,1.67471
170.0,10.0479,602.263,5.096,2652.873,11.8886,1.69632
172.0,9.9541,600.691,4.937,2535.145,12.071,1.70644
174.0,10.0132,598.637,4.99,2612.836,11.7316,1.66712
176.0,10.005,599.838,5.001,2728.287,11.8471,1.67361
178.0,10.0078,601.938,5.028,2670.693,11.5816,1.70125
180.0,10.0712,599.551,5.073,2470.069,11.7302,1.6462
182.0,9.961,602.087,5.05,2684.559,11.7809,1.67125
184.0,10.059,601.742,5.014,2560.691,11.3921,1.66627
186.0,9.9484,600.989,4.991,2568.077,12.0292,1.66832
188.0,10.0325,598.86,5.05,2572.497,11.6966,1.67592
190.0,10.0355,598.986,5.088,2568.989,11.8842,1.6616
192.0,9.9787,601.289,4.972,2638.637,11.7141,1.6837
194.0,9.9999,599.067,4.957,2618.66,11.3202,1.72453
196.0,9.9896,601.058,5.011,2645.57,12.273,1.68624
198.0,9.9268,598.62,5.056,2728.662,11.6897,1.68837
200.0,9.9605,599.543,4.906,2689.178,11.6855,1.69701
202.0,9.9904,602.477,5.018,2621.004,12.1823,1.6687
204.0,9.9751,600.582,4.988,2609.566,11.9406,1.6902
206.0,10.0296,598.716,5.023,2585.213,11.7898,1.68486
208.0,10.0515,601.381,5.006,2599.411,11.595,1.65741
210.0,9.9675,600.409,5.032,2635.496,11.7616,1.67732
212.0,10.0029,600.682,4.973,2608.23,11.7514,1.69051
214.0,10.0114,600.287,4.998,2573.482,11.7972,1.67727
216.0,10.0258,596.245,4.98,2721.372,11.8977,1.71012
218.0,9.9312,598.57,5.0,2630.756,11.9742,1.69595
220.0,10.0223,599.914,4.977,2541.132,11.7163,1.66354
222.0,10.0589,599.206,5.001,2476.296,11.5652,1.70583
224.0,10.0306,598.911,4.923,2526.158,11.4924,1.6497
226.0,10.0085,599.503,4.892,2666.774,11.459,1.66404
228.0,9.9549,598.865,5.014,2662.665,12.1332,1.66978
230.0,10.014,603.827,4.987,2476.654,11.5875,1.67198
232.0,10.1278,598.069,4.956,2631.389,11.6265,1.68265
234.0,10.0074,599.802,4.913,2642.127,11.5004,1.69349
236.0,10.0572,601.005,5.005,2642.231,12.1958,1.6646
238.0,9.9606,599.593,5.025,2543.916,12.0878,1.68538
240.0,9.9853,601.286,4.959,2486.394,11.7006,1.69383
242.0,9.9635,599.706,4.994,2640.172,11.7257,1.67351
244.0,9.9484,597.603,5.004,2537.988,11.9575,1.687
246.0,10.0108,604.2,4.934,2489.628,11.8772,1.69381
248.0,10.0101,600.534,4.973,2601.297,11.9515,1.63947
250.0,10.0666,600.477,4.948,2593.957,11.9194,1.64443
252.0,9.9238,598.272,4.983,2740.964,11.9131,1.69648
254.0,9.9487,601.118,4.977,2770.398,12.1079,1.66764
256.0,10.0004,596.94,5.003,2558.817,11.6322,1.65627
258.0,10.0009,603.5,5.005,2628.439,12.1255,1.70363
260.0,10.0355,597.337,5.045,2682.342,12.1216,1.68229
262.0,9.9306,599.088,5.031,2637.907,11.6209,1.68286
264.0,10.0159,602.011,5.043,2566.421,12.0988,1.67348
266.0,10.0974,603.664,4.943,2676.799,12.1995,1.63639
268.0,9.9932,599.34,5.023,2601.067,11.7234,1.67464
270.0,9.9423,599.588,5.006,2514.949,11.5385,1.6766
272.0,10.0386,602.945,4.934,2584.059,12.011,1.67142
274.0,10.0016,599.382,5.013,2553.191,11.9757,1.64587
276.0,10.0238,599.756,4.962,2697.878,11.7225,1.66527
278.0,9.9661,598.319,5.001,2563.779,11.4918,1.66861
280.0,9.9362,600.267,4.957,2499.354,11.6981,1.69104
282.0,9.8677,599.595,5.018,2454.676,12.1113,1.69691
284.0,9.9413,602.941,5.07,2642.744,11.8271,1.65115
286.0,10.0401,602.461,5.026,2660.923,11.7179,1.69812
288.0,10.0431,598.946,4.979,2632.727,11.563,1.67153
290.0,9.9819,600.013,4.993,2512.791,11.8109,1.71024
292.0,9.9185,599.531,4.996,2686.327,11.6372,1.68294
294.0,10.0161,604.714,4.967,2633.671,11.6809,1.6715
296.0,10.0014,600.182,4.924,2662.913,11.966,1.70248
298.0,10.1556,599.498,5.05,2615.442,11.7601,1.67137
300.0,10.0307,600.911,5.028,2647.922,11.6973,1.67848
302.0,10.0328,602.888,5.053,2628.483,12.0061,1.65942
304.0,9.9605,600.616,4.985,2770.944,11.4183,1.67246
306.0,9.9906,599.033,4.999,2613.868,11.946,1.68314
308.0,10.0077,602.078,5.018,2710.533,11.7652,1.68276
310.0,9.9891,597.621,5.079,2517.693,11.8062,1.68346
312.0,9.9352,597.735,4.939,2597.348,11.7843,1.66404
314.0,9.9825,599.992,4.829,2546.813,11.9819,1.69164
316.0,9.9343,599.584,5.054,2645.471,12.1613,1.68945
